my_util	opp_util1	opp_util2	social	nash	agreement	step
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.52	0.935	0.27	1.725	0.131274	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$32,000'}	64
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.52	0.935	0.27	1.725	0.131274	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$32,000'}	64
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.52	0.935	0.27	1.725	0.131274	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$32,000'}	64
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.433	0.7374999999999999	0.3375	1.508	0.10777640624999998	{'Signing bonus': '4%', 'Job assignment': 'Division E', 'Moving expense coverage': '70%', 'Insurance coverage': '0%', 'Salary': '$36,000'}	73
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.555	0.8325	0.3125	1.7000000000000002	0.14438671875	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$34,000'}	70
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0	0	0	0	0		80
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.809	0.40249999999999997	0.4275	1.639	0.13920361874999998	{'Signing bonus': '4%', 'Job assignment': 'Division C', 'Moving expense coverage': '80%', 'Insurance coverage': '100%', 'Salary': '$36,000'}	79
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.6435	0.6	0.22500000000000003	1.4685000000000001	0.0868725	{'Signing bonus': '2%', 'Job assignment': 'Division C', 'Moving expense coverage': '70%', 'Insurance coverage': '60%', 'Salary': '$36,000'}	76
0.52	0.935	0.27	1.725	0.131274	{'Signing bonus': '2%', 'Job assignment': 'Division D', 'Moving expense coverage': '90%', 'Insurance coverage': '0%', 'Salary': '$32,000'}	64
